clusterID,template,size
205,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to prepare order: failed to get product #""<:PRODUCTID:>""",258
206,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to get product #""<:PRODUCTID:>""",258
207,TraceID: <:TRACEID:> SpanID: <:SPANID:> No product with ID <:PRODUCTID:>,4999
208,<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> INFO - TraceID: <:TRACEID:> SpanID: <:SPANID:> No context provided. Constructe random Ads start,63875
209,"{""log"":""Inject cpu successfullyInject cpu successfully{\""timestamp\"": \""<:NUM:>-<:NUM:>-22T07:<:NUM:>:<:NUM:>.040061Z\"", \""severity\"": \""INFO\"", \""name\"": \""recommendationservice-server\"", \""message\"": \""TraceID: <:TRACEID:> SpanID: <:SPANID:> Query Recommendations\""}\n"",""stream"":""stdout"",""time"":""<:NUM:>-<:NUM:>-22T07:<:NUM:>:<:NUM:>.04024563Z""}",9
210,TraceID: <:TRACEID:> SpanID: <:SPANID:> Could not retrieve currencies,2
211,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to prepare order: failed to convert price of ""<:PRODUCTID:>"" to CAD",1
212,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to convert price of ""<:PRODUCTID:>"" to CAD",1
213,"TraceID: <:TRACEID:> SpanID: <:SPANID:> Failed to convert currency: rpc error: code = Unavailable desc = upstream connect error or disconnect/reset before headers. reset reason: connection failure, transport failure reason: delayed connect error: <:NUM:>",1
214,TraceID: <:TRACEID:> SpanID: <:SPANID:> Query product successfully,1436283
215,ts-gateway-service /* start,6
216,ts-gateway-service /* end,6
217,ts-gateway-service FilteringWebHandler.handle start,6
218,ts-gateway-service FilteringWebHandler.handle end,6
219,ts-gateway-service HTTP POST start,5
220,ts-gateway-service HTTP POST end,5
221,ts-preserve-service /api/v1/preserveservice/preserve start,2
222,ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#<:NUM:>,5059
223,ts-preserve-service /api/v1/preserveservice/preserve end,2
224,ts-preserve-service PreserveController.preserve start,2
225,p.s.PreserveServiceImpl#<:NUM:>,45372
226,p.c.PreserveController#<:NUM:>,3146
227,ts-preserve-service PreserveController.preserve end,2
228,ts-preserve-service BasicErrorController.error start,1
229,ts-preserve-service BasicErrorController.error end,1
230,ts-preserve-service HTTP GET start,5
231,ts-preserve-service HTTP GET end,5
232,ts-preserve-service HTTP POST start,7
233,ts-preserve-service HTTP POST end,7
234,ts-security-service /api/v1/securityservice/securityConfigs/{accountId} start,3
235,ts-security-service /api/v1/securityservice/securityConfigs/{accountId} end,3
236,ts-security-service SecurityController.check start,3
237,s.s.SecurityServiceImpl#<:NUM:>,16293
238,s.c.SecurityController#<:NUM:>,5475
239,ts-security-service SecurityController.check end,3
240,ts-security-service HTTP GET start,6
241,ts-security-service HTTP GET end,6
242,ts-order-service /api/v1/orderservice/order/security/{checkDate}/{accountId} start,3
243,ts-order-service /api/v1/orderservice/order/security/{checkDate}/{accountId} end,3
244,ts-order-service /api/v1/orderservice/order/tickets start,5
245,ts-order-service /api/v1/orderservice/order/tickets end,5
246,ts-order-service OrderController.securityInfoCheck start,3
247,o.c.OrderController#<:NUM:>,63809
248,ts-order-service OrderController.securityInfoCheck end,3
249,ts-order-service OrderController.getTicketListByDateAndTripId start,5
250,o.s.<:SPANID:>#<:NUM:>,60867
251,ts-order-service OrderController.getTicketListByDateAndTripId end,5
252,ts-order-service OrderRepository.findByAccountId start,4
253,ts-order-service OrderRepository.findByAccountId end,4
254,ts-order-service OrderRepository.findByTravelDateAndTrainNumber start,5
255,ts-order-service OrderRepository.findByTravelDateAndTrainNumber end,5
256,ts-order-service SELECT Order start,9
257,ts-order-service SELECT Order end,9
258,ts-order-service SELECT ts.orders start,12
259,ts-order-service SELECT ts.orders end,12
260,ts-order-other-service /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} start,3
261,ts-order-other-service /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} end,3
262,ts-order-other-service OrderOtherController.securityInfoCheck start,3
263,o.c.OrderOtherController#<:NUM:>,37745
264,ts-order-other-service OrderOtherController.securityInfoCheck end,3
265,ts-order-other-service OrderOtherRepository.findByAccountId start,4
266,ts-order-other-service OrderOtherRepository.findByAccountId end,4
267,ts-order-other-service SELECT Order start,7
268,ts-order-other-service SELECT Order end,7
269,ts-order-other-service SELECT ts.orders other start,10
270,ts-order-other-service SELECT ts.orders other end,10
271,ts-security-service SecurityRepository.findByName start,6
272,ts-security-service SecurityRepository.findByName end,6
273,ts-security-service SELECT SecurityConfig start,6
274,ts-security-service SELECT SecurityConfig end,6
275,ts-security-service SELECT ts.security config start,6
276,ts-security-service SELECT ts.security config end,6
277,ts-contacts-service /api/v1/contactservice/contacts/{id} start,3
278,ts-contacts-service /api/v1/contactservice/contacts/{id} end,3
279,ts-contacts-service ContactsController.getContactsByContactsId start,3
280,c.s.ContactsServiceImpl#<:NUM:>,10842
281,c.c.ContactsController#<:NUM:>,10842
282,ts-contacts-service ContactsController.getContactsByContactsId end,3
283,ts-contacts-service ContactsRepository.findById start,3
284,ts-contacts-service ContactsRepository.findById end,3
285,ts-contacts-service Session.find contacts.entity.Contacts start,3
286,ts-contacts-service Session.find contacts.entity.Contacts end,3
287,ts-contacts-service Transaction.commit start,3
288,ts-contacts-service Transaction.commit end,3
289,ts-contacts-service SELECT ts.contacts start,3
290,ts-contacts-service SELECT ts.contacts end,3
291,ts-travel-service /api/v1/travelservice/trip detail start,2
292,ts-travel-service /api/v1/travelservice/trip detail end,2
293,ts-travel-service <:SPANID:>.getTripAllDetailInfo start,2
294,t.s.TravelServiceImpl#<:NUM:>,250387
295,t.c.<:SPANID:>#<:NUM:>,16592
296,ts-travel-service <:SPANID:>.getTripAllDetailInfo end,2
297,ts-travel-service TripRepository.findByTripId start,4
298,ts-travel-service TripRepository.findByTripId end,4
299,ts-travel-service SELECT Trip start,4
300,ts-travel-service SELECT Trip end,4
301,ts-travel-service SELECT ts.trip start,4
302,ts-travel-service SELECT ts.trip end,4
303,ts-travel-service HTTP POST start,6
304,ts-travel-service HTTP POST end,6
305,ts-basic-service /api/v1/basicservice/basic/travel start,6
306,ts-basic-service /api/v1/basicservice/basic/travel end,6
307,ts-basic-service BasicController.queryForTravel start,6
308,f.m.s.<:SPANID:>#<:NUM:>,245209
309,f.m.c.BasicController#<:NUM:>,29857
310,ts-basic-service BasicController.queryForTravel end,6
311,ts-basic-service HTTP GET start,30
312,ts-basic-service HTTP GET end,30
313,ts-station-service /api/v1/stationservice/stations/id/{<:SPANID:>} start,12
314,ts-station-service /api/v1/stationservice/stations/id/{<:SPANID:>} end,12
315,ts-station-service StationController.queryForStationId start,12
316,f.m.c.StationController#<:NUM:>,39589
317,ts-station-service StationController.queryForStationId end,12
318,ts-station-service StationRepository.findByName start,12
319,ts-station-service StationRepository.findByName end,12
320,ts-station-service SELECT Station start,12
321,ts-station-service SELECT Station end,12
322,ts-station-service SELECT ts.station start,13
323,ts-station-service SELECT ts.station end,13
324,ts-train-service /api/v1/trainservice/trains/byName/{name} start,6
325,ts-train-service /api/v1/trainservice/trains/byName/{name} end,6
326,ts-train-service TrainController.retrieveByName start,7
327,t.c.TrainController#<:NUM:>,29335
328,ts-train-service TrainController.retrieveByName end,7
329,ts-train-service TrainTypeRepository.findByName start,6
330,ts-train-service TrainTypeRepository.findByName end,6
331,ts-train-service SELECT TrainType start,6
332,ts-train-service SELECT TrainType end,6
333,ts-train-service SELECT ts.train type start,7
334,ts-train-service SELECT ts.train type end,7
335,ts-route-service /api/v1/routeservice/routes/{routeId} start,6
336,ts-route-service /api/v1/routeservice/routes/{routeId} end,6
337,ts-route-service RouteController.queryById start,6
338,r.c.RouteController#<:NUM:>,30949
339,ts-route-service RouteController.queryById end,6
340,ts-route-service RouteRepository.findById start,6
341,ts-route-service RouteRepository.findById end,6
342,ts-route-service Session.find route.entity.Route start,6
343,ts-route-service Session.find route.entity.Route end,6
344,ts-route-service Transaction.commit start,6
345,ts-route-service Transaction.commit end,6
346,ts-route-service SELECT ts.route start,7
347,ts-route-service SELECT ts.route end,7
348,ts-route-service SELECT ts.route stations start,11
349,ts-route-service SELECT ts.route stations end,11
350,ts-route-service SELECT ts.route distances start,11
351,ts-route-service SELECT ts.route distances end,11
352,ts-price-service /api/v1/priceservice/prices/{routeId}/{trainType} start,6
353,ts-price-service /api/v1/priceservice/prices/{routeId}/{trainType} end,6
354,ts-price-service PriceController.query start,7
355,p.s.<:SPANID:>#<:NUM:>,9732
356,p.c.PriceController#<:NUM:>,28555
357,ts-price-service PriceController.query end,7
358,ts-price-service PriceConfigRepository.findByRouteIdAndTrainType start,6
359,ts-price-service PriceConfigRepository.findByRouteIdAndTrainType end,6
360,ts-price-service SELECT PriceConfig start,6
361,ts-price-service SELECT PriceConfig end,6
362,ts-price-service SELECT ts.price config start,7
363,ts-price-service SELECT ts.price config end,7
364,ts-seat-service /api/v1/seatservice/seats/left tickets start,8
365,ts-seat-service /api/v1/seatservice/seats/left tickets end,8
366,ts-seat-service SeatController.getLeftTicketOfInterval start,8
367,s.s.SeatServiceImpl#<:NUM:>,268766
368,s.c.SeatController#<:NUM:>,68356
369,ts-seat-service SeatController.getLeftTicketOfInterval end,8
370,ts-seat-service HTTP POST start,10
371,ts-seat-service HTTP POST end,10
372,ts-seat-service HTTP GET start,8
373,ts-seat-service HTTP GET end,8
374,ts-config-service /api/v1/configservice/configs/{configName} start,6
375,ts-config-service /api/v1/configservice/configs/{configName} end,6
376,ts-config-service <:SPANID:>.retrieve start,6
377,c.s.ConfigServiceImpl#<:NUM:>,63696
378,c.c.<:SPANID:>#<:NUM:>,67598
379,ts-config-service <:SPANID:>.retrieve end,6
380,ts-config-service <:SPANID:>.findByName start,6
381,ts-config-service <:SPANID:>.findByName end,6
382,ts-config-service SELECT Config start,6
383,ts-config-service SELECT Config end,6
384,ts-config-service SELECT ts.config start,5
385,ts-config-service SELECT ts.config end,5
386,ts-inside-payment-service /api/v1/inside pay service/inside payment start,1
387,ts-inside-payment-service /api/v1/inside pay service/inside payment end,1
388,ts-inside-payment-service InsidePaymentController.pay start,1
389,i.s.InsidePaymentServiceImpl#<:NUM:>,2977
390,i.c.InsidePaymentController#<:NUM:>,5126
391,ts-inside-payment-service InsidePaymentController.pay end,1
392,ts-inside-payment-service HTTP GET start,2
393,ts-inside-payment-service HTTP GET end,2
394,ts-inside-payment-service HTTP POST start,1
395,ts-inside-payment-service HTTP POST end,1
396,ts-order-other-service /api/v1/orderOtherService/orderOther/{orderId} start,1
397,ts-order-other-service /api/v1/orderOtherService/orderOther/{orderId} end,1
398,ts-order-other-service /api/v1/orderOtherService/orderOther/status/{orderId}/{status} start,1
399,ts-order-other-service /api/v1/orderOtherService/orderOther/status/{orderId}/{status} end,1
400,ts-order-other-service OrderOtherController.getOrderById start,1
401,o.s.OrderOtherServiceImpl#<:NUM:>,34107
402,ts-order-other-service OrderOtherController.getOrderById end,1
403,ts-order-other-service OrderOtherController.modifyOrder start,1
404,ts-order-other-service OrderOtherController.modifyOrder end,1
405,ts-order-other-service OrderOtherRepository.findById start,2
406,ts-order-other-service OrderOtherRepository.findById end,2
407,ts-order-other-service OrderOtherRepository.save start,2
408,ts-order-other-service OrderOtherRepository.save end,2
409,ts-order-other-service Session.find other.entity.Order start,2
410,ts-order-other-service Session.find other.entity.Order end,2
411,ts-order-other-service Transaction.commit start,4
412,ts-order-other-service Transaction.commit end,4
413,ts-order-other-service Session.merge other.entity.Order start,2
414,ts-order-other-service Session.merge other.entity.Order end,2
415,ts-order-other-service UPDATE ts.orders other start,1
